tweet,bias,pos,neg,label
"['follow', 'pleas', ':)', 'big', 'dream', ':)']",1,7667,586,1.0
"['oley', ':D']",1,630,0,1.0
"['mama', 'reason', 'stand', 'stronger', ':)']",1,3591,17,1.0
['follow'],1,381,262,1.0
"['oh', 'god', 'misti', 'babi', 'cute', ':D']",1,749,197,1.0
"['love', 'blue', ':)', 'flipkartfashionfriday']",1,3994,159,1.0
"['woohoo', ""can't"", 'wait', ':)', 'sign', 'yet', 'still', 'think', 'mka']",1,3824,466,1.0
"['liam', 'access', ':)']",1,3579,5,1.0
"['welcom', ':)']",1,3641,7,1.0
"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",1,4672,506,1.0
"['surpris', '...', 'amaz', 'figur', ':)']",1,3923,360,1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1,3759,67,1.0
"['happybirthdayemilybett', ':)', 'wish', 'best', 'beauti', 'sweet', 'talent', 'amaz', '…']",1,3834,167,1.0
"['2', 'plan', 'day', 'drain', 'great', ':)']",1,4071,235,1.0
"['gotta', 'love', 'timezon', ':p']",1,543,160,1.0
"['parent', 'proud', '—', 'lol', 'least', ':D', 'mayb', 'sometim', 'get', 'happi', 'grade', 'al', '...']",1,1498,737,1.0
"['grand', ':)']",1,3572,3,1.0
"['manila_bro', 'chosen', 'follow', 'twitter']",1,413,292,1.0
"['sure', 'let', 'know', 'around', '..', 'side', 'world', 'eh', 'u', 'take', 'care', ':-)']",1,1388,616,1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1,4265,379,1.0
"['final', 'fuck', 'weekend', ':)']",1,3699,120,1.0
"['real', ':)']",1,3589,23,1.0
"['thank', ':D']",1,1249,107,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x45']",1,5600,813,1.0
"['ye', 'join', 'hushedcallwithfraydo', 'call', 'gift', '<3', 'gotta', 'get', ':D']",1,1120,361,1.0
"['yeahhh', ':)']",1,3569,4,1.0
"['dm', 'make', 'night', 'better', ':)']",1,3826,209,1.0
"['join', 'hushedpinwithsammi', 'event', ':D', 'might', 'get', 'text', 'day', 'luv', 'u']",1,1340,614,1.0
"['would', 'realli', 'appreci', 'share', 'video', 'around', ':)']",1,3859,259,1.0
"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",1,4297,523,1.0
"['oh', 'wow', 'beauti', 'tom', ':)']",1,3698,119,1.0
"['love', ':)']",1,3968,154,1.0
"['ad', 'video', 'playlist']",1,53,26,1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1,3768,92,1.0
['follow'],1,381,262,1.0
"['gym', 'monday', ""can't"", 'wait', ':)', 'like']",1,3927,469,1.0
"['hey', ""here'"", 'invit', 'join', 'scope', 'influenc', ':)']",1,3732,38,1.0
"['friend', 'know', ':)']",1,3774,172,1.0
"['wait', 'nude', ':-)']",1,764,47,1.0
"['go', 'sleep', 'u', ':)']",1,3936,509,1.0
"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",1,4672,506,1.0
"['birthday', 'week', 'today', ':D']",1,894,187,1.0
"['want', 't-shirt', 'cool', ':D']",1,766,251,1.0
"['haw', 'phela', 'look', 'like', 'mom', 'obvious', 'look', 'like', ':)']",1,4322,672,1.0
"['princ', 'charm', 'stage', ':)', 'x']",1,3644,57,1.0
"['realli', 'good', 'luck', ':)']",1,3915,240,1.0
"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",1,4672,506,1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1,3764,72,1.0
"['tyler', 'hipster', 'glass', ':D']",1,637,3,1.0
"['hey', 'marti', 'glad', 'see', 'twitter', ':)']",1,3902,184,1.0
"['hi', 'join', 'today', ':)']",1,3872,152,1.0
"['done', 'thank', ':-)']",1,1366,131,1.0
"['alreadi', 'afternoon', 'let', 'read', 'al', 'kahfi', 'day', 'finish', ':)']",1,3976,281,1.0
"['ohmyg', 'yaya', 'dub', 'im', 'done', 'stalk', 'ig', 'accnt', '..', 'gondooo', 'moo', 'tologooo', ':)', 'haha']",1,3871,296,1.0
"[""here'"", 'invit', 'becom', 'scope', 'influenc', ':)', 'detail']",1,3653,13,1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1,3759,67,1.0
"['thank', ':)', 'zzz', 'xx']",1,4231,129,1.0
"['physiotherapi', 'friday', 'hashtag', 'today', 'custom', ':-)']",1,926,122,1.0
"['know', '💪', 'monica', 'miss', 'yeah', 'sound', 'good', ':)']",1,4050,599,1.0
"['good', 'morn', 'beauti', ':)', ""that'"", 'take']",1,4067,255,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x43']",1,5600,813,1.0
"['oh', 'yeah', 'definit', 'go', 'tri', 'tonight', ':)', 'took', 'advic', 'treviso']",1,3918,460,1.0
['follow'],1,381,262,1.0
"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",1,5226,855,1.0
"['fine', '...', 'gorgeou', 'friday', 'friend', '..', 'xo', '..', ':)']",1,4314,609,1.0
"['oven', 'roast', 'garlic', 'oliv', 'oil', 'sun', 'dri', 'tomato', 'dri', 'basil', 'centuri', 'tuna', ':)']",1,3599,19,1.0
"['right', 'back', 'atchya', 'great', 'day', 'everyon', ':)']",1,4189,372,1.0
"['even', 'follow', 'back', ':-)']",1,1206,454,1.0
"['futur', 'almost', ':)']",1,3591,17,1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1,4265,379,1.0
"['chanc', ':)']",1,3574,18,1.0
"['cheer', ':)']",1,3588,8,1.0
"['go', 'po', 'ice', 'cream', ':)']",1,3732,294,1.0
"['agre', '100', ':)']",1,3592,15,1.0
"['heheheh', 'that', 'point', ':p']",1,165,27,1.0
"['next', 'time', 'stay', 'home', ':)']",1,3799,295,1.0
"['thank', ':)']",1,4188,109,1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1,3768,92,1.0
"['soon', 'promis', ':)']",1,3621,51,1.0
"['web', 'whatsapp', 'volta', 'funcionar', 'com', 'iphon', 'jailbroken', ':-)']",1,713,10,1.0
"['plan', 'watch', 'later', '34', 'min', 'leia', 'appear', 'hologram', 'r2d2', 'w', 'messag', 'obi', 'wan', 'sit', 'w', 'luke', ':)']",1,3739,183,1.0
"['inter', '3', 'ucl', 'arsen', '...', 'small', 'team', 'right', ':)']",1,3973,445,1.0
"['pass', ':)', '🚂', 'dewsburi', 'railway', 'station', 'dew', 'dewsburi', 'west', 'yorkshir']",1,3596,21,1.0
"[':)', '430', 'smh']",1,3571,8,1.0
"['9:25', ':)', 'live', 'scotland', ':)', 'strang', 'imagin', 'megan', 'xx']",1,7217,64,1.0
"['masaantoday', 'masaantoday', 'a4', '...', 'shweta', 'tripathi', 'masaantoday', 'masaantoday', ':-)', '..']",1,1138,439,1.0
"['5', '20', 'w', 'kurta', 'mom', 'half', 'number', ':D', 'wsalelov']",1,720,85,1.0
"['ah', 'hello', 'back', 'larri', ':)']",1,3741,155,1.0
"['anyway', 'friday', 'look', 'kinda', 'goood', ':)']",1,3854,137,1.0
['follow'],1,381,262,1.0
"['lol', 'well', ""that'"", 'life', ':)', 'thank', 'god', 'enn']",1,4470,317,1.0
"['sure', 'could', 'warmup', 'morn', 'come', '15th', 'bath', ':)', 'xx']",1,3881,243,1.0
"['dum', 'dum', 'andar', 'ram', 'sampath', 'sona', 'mohapatra', 'samantha', 'edward', 'mein', 'tulan', 'razi', 'razi', 'wah', ""that'"", 'josh', ':)']",1,3655,69,1.0
"[':)', 'alway', 'smile']",1,3697,68,1.0
"['pictur', ':)']",1,3580,19,1.0
"['thank', 'time', '16.20', 'right', ""that'"", 'perfect', 'time', ':)']",1,4581,555,1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1,3764,72,1.0
"['know', ':)']",1,3713,133,1.0
"['giveitup', 'alreadi', 'given', 'ga', 'subsidi', 'long', 'back', 'initi', 'propos', '..', 'feel', 'delight', 'done', ':)']",1,3980,511,1.0
"['miss', 'yesterday', ':-)']",1,726,314,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x42']",1,5600,813,1.0
"['lmaoo', 'best', 'song', 'ever', '<3', 'shall', 'littl', 'throwback', 'week', ':p']",1,506,184,1.0
"['go', 'outli', 'island', 'cheung', 'chau', 'mui', 'wo', '...', 'total', 'differ', ':)']",1,4035,582,1.0
"['kfckitchentour', 'kitchen', 'clean', ""i'm"", 'total', 'amaz', ':)']",1,3818,381,1.0
['follow'],1,381,262,1.0
"['cusp', 'test', 'water', 'hope', 'reward', ':)']",1,3726,120,1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1,3759,67,1.0
"['arummzz', ""let'"", 'go', '...', ""i'll"", 'drive', ':p', 'travel', 'travel', 'yogyakarta', 'jeep', 'indonesia', 'instamood', '…']",1,791,656,1.0
"['anyon', 'wanna', 'skype', ':D']",1,673,117,1.0
"['may', 'look', 'bit', 'real', 'nice', 'friendli', 'girl', ':-)']",1,1036,202,1.0
"['im', 'like', 'pretend', ':)']",1,3854,360,1.0
"['watch', 'concert', 'film', ':)']",1,3647,96,1.0
"['congratul', 'winner', 'cheesydelight', 'contest', ':)', 'pleas', 'dm', 'us', 'address', 'contact', 'number']",1,3869,362,1.0
"[':)', 'great', 'weekend', 'guy']",1,3874,111,1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1,4265,379,1.0
"['cool', 'see', 'film', 'today', ':)']",1,3907,245,1.0
"['check', 'email', 'market', '24/7']",1,84,33,1.0
"['lol', 'come', 'join', 'us', '...', 'see', 'u', 'around', '14', 'hour', 'u', 'leav', 'without', 'delay', ':)']",1,4728,1158,1.0
"['actual', 'easi', 'like', 'must', 'station', 'guess', 'train', 'wd', 'take', 'least', 'hour', 'shift', 'engin', 'etc', ':-)']",1,1095,409,1.0
"['sunburn', 'peel', ':-)']",1,695,2,1.0
"['visit', 'blog']",1,61,14,1.0
"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",1,5226,855,1.0
"['talk', 'help', ':)']",1,3654,101,1.0
"['huge', 'warm', 'welcom', ':-)', '☆', 'final', 'complet', 'triangl', '☆']",1,831,57,1.0
"['live', 'northern', 'ireland', ':)', 'sight', 'seen']",1,3608,66,1.0
['follow'],1,381,262,1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1,3768,92,1.0
"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",1,4672,506,1.0
"['feel', 'smthng', 'smthng', 'fr', 'u', '...', 'lol', '...', 'wanna', 'hug', 'u', '...', 'xoxo', '...', 'love', 'uu', 'jaann', 'take', 'care', ':)', '<3']",1,5834,2287,1.0
"['thank', 'mom', ':)']",1,4198,122,1.0
"['thank', 'topnewfollow', 'happi', 'connect', ':)']",1,4415,137,1.0
"['wonder', 'thing', 'made', 'feel', 'fluffi', 'insid', 'great', 'pirouett', 'moos', ':D']",1,1014,278,1.0
"['trip', 'philli', 'decemb', ':)', ""i'd"", 'love', 'come', 'dude']",1,4082,281,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x41']",1,5600,813,1.0
"['question', 'flaw', 'pain', 'negat', 'strength', ':)']",1,3599,33,1.0
"['went', 'solo', 'move', 'made', ':D']",1,710,73,1.0
"['hey', 'fav', 'nirvana', 'song', 'smell', 'like', 'teen', 'spirit', 'rip', 'ami', 'winehous', ':-)']",1,1053,311,1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1,3764,72,1.0
"[""let'"", 'go', '...', ""i'll"", 'drive', ':p', 'travel', 'travel', 'yogyakarta', 'jeep', 'indonesia', 'instamood', '…']",1,789,656,1.0
"['name', 'coupl', 'yet', 'tomhiddleston', 'elizabetholsen', 'yaytheylookgreat', ':)']",1,3611,52,1.0
"['love', 'goodnight', 'vid', 'go', 'wake', 'love', 'one', ':)']",1,4692,700,1.0
"['weekend', 'gonna', 'shoot', 'love', '<3', 'pictur', 'made', 'last', 'time', ':D']",1,1504,537,1.0
"['anyway', ':-)']",1,708,12,1.0
"['itti', 'bitti', 'teeni', 'bikini', ':)']",1,3577,2,1.0
"['join', 'hushedpinwithsammi', 'event', ':D', 'might', 'get', 'text', 'day', 'luv', 'u']",1,1340,614,1.0
"['alway', 'much', 'fun', '4th', 'hour', 'get', 'togeth', ':)', 'end', 'night', 'ice', 'cream', 'xfile', 'content']",1,4131,658,1.0
"['easi', ':D']",1,638,6,1.0
"['ye', 'surpris', 'see', 'bit', 'rain', 'today', '...', ':)']",1,4277,676,1.0
['follow'],1,381,262,1.0
"['fabul', 'friday', 'keep', 'fantast', 'work', ':)']",1,3880,181,1.0
"['pleas', 'follow', '♡', '♡', '♡', 'pleas', 'jb', 'follow', 'love', 'alway', 'forev', ""i'm"", 'belieb', '♡', '♡', '♡', ':)', 'love', 'u']",1,5878,2050,1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1,3759,67,1.0
"['morn', ':)']",1,3669,33,1.0
"['good', 'hear', ':)']",1,3839,136,1.0
"['nighti', 'night', 'let', 'bed', 'bug', 'bite', ':D']",1,786,103,1.0
"['beauti', 'bracelet', 'good', 'idea', ':)']",1,3884,127,1.0
"['wait', 'foundri', ':)']",1,3639,45,1.0
"['like', 'game', ':)']",1,3828,258,1.0
"['ah', 'make', 'sens', '...', 'see', 'pic', 'ef', 'phone', 'last', 'night', 'woot', ':)', 'x']",1,4396,783,1.0
"['hi', 'derek', 'could', 'tri', 'use', 'parkshar', 'gloucestershir']",1,296,214,1.0
"['aaaahhh', 'man', 'track', 'traffic', 'stress', 'reliev', ':)']",1,3608,52,1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1,4265,379,1.0
"[""how'r"", 'today', 'dear', ':)']",1,3694,121,1.0
"['hear', 'guy', 'want', 'arbeloa', ':D']",1,819,341,1.0
"['turn', '17', '15', 'day', '...', 'omg', 'least', '3', 'year', 'differ', ':)']",1,4244,680,1.0
"['well', 'say', 'europ', 'rise', 'find', 'hard', 'believ', ':)']",1,3757,228,1.0
"['wsalelov', 'uncount', 'coz', 'love', 'unlimit', ':)']",1,3989,163,1.0
"['ye', 'cours', ':)', 'teamposit']",1,3664,57,1.0
"['ye', 'love', ':-)', 'aldub']",1,1171,201,1.0
"[':)', '☕', '☕', '☕', 'thank', 'rita']",1,4199,112,1.0
"['hi', 'could', 'pleas', 'dm', 'us', 'info', ""we'd"", 'happi', 'help', ':)']",1,4287,531,1.0
"['way', 'boy', ':)']",1,3635,62,1.0
"['hope', 'get', 'lot', 'nice', 'gift', ':D']",1,1169,391,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x40']",1,5600,813,1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1,3768,92,1.0
"['true', ':)']",1,3590,24,1.0
"['ad', 'video', 'playlist']",1,53,26,1.0
"['sethi', 'high', ':)']",1,3577,10,1.0
"['exe', 'skeem', 'saam', ':)']",1,3571,2,1.0
"['peopl', 'make', 'smile', ':)']",1,3777,189,1.0
"['thank', 'invit', ':)']",1,4205,110,1.0
"['polit', 'izzat', ':)', 'wese', 'trust', 'khawateen', 'k', 'sath', 'selfi', 'say', 'mana', 'kar', 'deya', ':)']",1,7237,89,1.0
"['thank', ""that'"", 'friday', 'even', 'sort', ':-)']",1,1539,257,1.0
"['smart', ':)']",1,3573,3,1.0
"[':-)', 'nice', 'hair', 'tbh']",1,807,54,1.0
"['5', 'year', ':)']",1,3629,63,1.0
"['jacob', 'g', 'upgrad', ':-)']",1,710,14,1.0
"['nice', 'tee', 'man', ':)']",1,3691,53,1.0
"['happi', 'famili', 'vacat', '..', ':D', 'pic', '—']",1,1047,186,1.0
"['sleep', 'would', 'nice', ':-)']",1,919,179,1.0
"['read', 'beauti', 'like', 'read', ':)']",1,3919,281,1.0
"['talk', 'one', 'person', '...', 'two', 'convers', ':)']",1,4078,566,1.0
"['skype', 'fun', ':-)']",1,753,38,1.0
"['onlin', ':)']",1,3575,22,1.0
"['...', 'friday', ':D']",1,1034,343,1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1,3764,72,1.0
"['someth', 'get', 'friday', 'great', 'start', ':)', 'great', 'day', 'mclaren', 'fridayfeel', 'tgif']",1,4583,513,1.0
['follow'],1,381,262,1.0
"['squar', 'enix', 'bissmillah', 'ya', 'allah', ':)']",1,3597,21,1.0
"[""we'r"", 'train', 'socent', 'startup', 'week', 'w', ""we'd"", 'love', 'drop', 'your', 'arnd', 'town', ':)']",1,4133,306,1.0
"['basic', 'piss', 'cup', 'test', ':)']",1,3586,18,1.0
"['next', ':)']",1,3616,42,1.0
"['also', 'twitter', 'terribl', 'complic', 'discuss', ':)']",1,3638,65,1.0
"['snapchat', 'lynettelow', 'snapchat', 'kikmenow', 'snapm', 'hot', 'snapchat', 'amazon', 'kikmeguy', ':)']",1,3710,278,1.0
"['look', 'forward', '12', 'hour', 'shift', 'today', ':)']",1,3879,264,1.0
"['defin', 'agre', 'grow', 'sport', 'drop', 'email', 'detail', 'see', ':-)']",1,950,157,1.0
"['last', 'rt', ':)']",1,3627,82,1.0
"['...', 'rakyat', 'keep', 'visit', 'blog', 'read', 'write', ':)']",1,4034,414,1.0
"['ever', 'sinc', 'mention', 'fli', 'fish', 'day', ""i'm"", 'get', 'follow', 'promot', 'post', 'lol', 'cyber', 'stalk', ':-)']",1,1871,1134,1.0
"['ourdaughtersourprid', 'mypapamyprid', 'proud', 'papa', 'coach', ':)']",1,3591,12,1.0
"['great', 'talk', ':D']",1,845,67,1.0
"['never', 'see', 'posit', 'kha', 'u', 'could', 'also', 'mention', 'atleast', 'go', ':)']",1,4213,699,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x39']",1,5600,813,1.0
"['mango', ""lassi'"", ""monty'"", 'marvel', ':D', 'though', 'suspect', ""that'"", 'meant', '...']",1,1015,458,1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1,3759,67,1.0
"['haha', 'ye', '24', 'hr', 'time', 'come', 'touch', 'kepler', '452b', 'chalna', 'hai', ':D']",1,998,364,1.0
['follow'],1,381,262,1.0
"['thankyou', 'pretti', ':)']",1,3602,19,1.0
"['definit', 'hazel', 'food', 'market', 'brooklyn', 'pta', ':)']",1,3606,27,1.0
"['still', 'awak', ':)']",1,3626,136,1.0
"['okayi', ':D']",1,631,0,1.0
"['awww', 'thank', ':)']",1,4203,132,1.0
"['ha', 'surpris', 'least', 'okay', 'see', 'doc', 'afternoon', 'yorkshir', 'splendid', 'though', ':)', 'xx']",1,3915,269,1.0
"['spam', 'folder', 'wow', 'huge', 'amount', 'need', 'travel', 'nigeria', 'claim', ':)']",1,3704,144,1.0
"['rted', 'good', 'luck', ':)']",1,3837,111,1.0
"['leg', 'hurt', 'bad', ':)']",1,3599,120,1.0
"['get', 'mine', 'saturday', ':-)']",1,920,254,1.0
"['thaaank', 'decemb', 'puhon', ':)']",1,3573,4,1.0
"['happinesss', ':)']",1,3569,2,1.0
"['true', 'chang', 'tnc', 'without', 'prior', 'notif', 'could', 'use', 'last', 'night', ':-)']",1,945,307,1.0
[],1,0,0,1.0
"['fat', 'co', 'probabl', 'ate', 'yuna', ':D', ':D', ':D']",1,1904,28,1.0
"['fun', 'tamesid', ':)']",1,3627,34,1.0
"[':-)', ':-)', ':-)']",1,2076,0,1.0
"['´', 'welcom', ':)']",1,3644,11,1.0
"['googl', 'account', ':)']",1,3593,27,1.0
"['call', 'scouser', 'everyth', 'hope', 'zoe', 'well', 'mate', ':)']",1,3850,208,1.0
"['right', 'liter', 'like', 'mayb', 'u', 'get', 'peopl', 'actual', 'know', ""they'r"", ':-)']",1,1601,990,1.0
"['samee', 'rest', 'well', ':)']",1,3662,79,1.0
"['happi', 'birthday', 'edgar', 'hope', 'good', 'one', 'keep', 'updat', 'travel', 'log', ':)']",1,4467,459,1.0
"['hello', ':D']",1,688,13,1.0
"['bring', 'abe', ':)']",1,3586,11,1.0
"['stat', 'day', 'arriv', '2', 'new', 'follow', 'unfollow', ':)', 'via']",1,4655,522,1.0
"['someon', 'talk', ':)']",1,3647,104,1.0
"['never', 'ever', 'meet', ':D']",1,722,118,1.0
"['come', 'man', ':D', ':D']",1,1351,123,1.0
['follow'],1,381,262,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x38']",1,5600,813,1.0
"['sigh', 'dreamili', 'pout', 'come', 'bath', 'eye', ':-)', 'quacketyquack']",1,795,117,1.0
"['happi', 'birthday', 'love', ':)']",1,4253,202,1.0
"['cheer', ':-)']",1,712,6,1.0
"['funni', 'happen', 'phil']",1,36,58,1.0
"[""i'd"", 'call', 'em', 'del', 'rodder', ':)', 'els']",1,3640,47,1.0
"['hi', 'may', 'like', 'play', 'newest', 'gamejam', 'game', 'would', 'happi', ':)']",1,4366,451,1.0
"['great', 'irish', 'literatur', 'realli', 'inaccess', 'us', 'without', 'irish', ':)']",1,3947,223,1.0
"['yeah', 'fun', ':)', 'flipkartfashionfriday']",1,3690,75,1.0
"['nice', 'music', ':)', 'check']",1,3739,56,1.0
"['strang', ""kareena'"", 'fan', 'know', ""kareena'"", 'fan', ':)']",1,3781,167,1.0
"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",1,4297,523,1.0
